routename,distKM,time
Cabo da Boa esperança-Mascate,8687.1,78
Cabo da Boa esperança-Macau,13254.76,117
Cabo da Boa esperança-Amboíno,12417.36,110
Cabo da Boa esperança-Socotra,7112.54,64
Cabo da Boa esperança-Bombaim,8891.49,79
Cabo da Boa esperança-Quiloa,5131.35,47
Cabo da Boa esperança-Porto,9940.84,88
Cabo da Boa esperança-Olinda,6693.66,60
Cabo da Boa esperança-São Jorge dos Ilhéus,6685.53,60
Cabo da Boa esperança-Natal - Capitania do Rio Grande,6534.41,59
Cabo da Boa esperança-Salvador,6570.81,59
Cabo da Boa esperança-Porto Seguro,6566.51,59
Cabo da Boa esperança-Rio de Janeiro,6322.57,57
Cabo da Boa esperança-Vila do Espírito Santo,6265.32,57
Mossel Bay-Lisboa,9997.57,89
Mossel Bay-Monte Pascoal - BA,6808.97,61
Mossel Bay-Cananor,9055.18,81
Mossel Bay-Ilhas Canárias,8705.78,78
Mossel Bay-Santiago - Cabo Verde,7536.07,68
Mossel Bay-Baía de Santa Helena,414.08,6
Mossel Bay-Cabo da Boa esperança,338.2,6
Mossel Bay-Natal,2171.7,22
Mossel Bay-Quelimane,3528.56,33
Mossel Bay-Ilha de moçambique,4125.24,38
Mossel Bay-Mombaça,5430.98,50
Mossel Bay-Malindi,5534.64,50
Mossel Bay-Goa,9589.65,85
Mossel Bay-Calicute,9027.23,81
Mossel Bay-Ceuta,9981.69,89
Mossel Bay-Tanger,9778.47,87
Mossel Bay-Arzila,9811.8,87
Mossel Bay-Alcácer-Quibir,9860.05,88
Mossel Bay-Cochin,8923.94,80
Mossel Bay-Goa,9589.65,85
Mossel Bay-Tidore,12824.55,113
Mossel Bay-Sohar,9271.39,83
Mossel Bay-Trincomalee,9078.53,81
Mossel Bay-Malaca,11129.61,99
Mossel Bay-São Tomé de Meliapor,9627.2,86
Mossel Bay-Negapatão,9825.69,87
Mossel Bay-Diu,9198.19,82
Mossel Bay-Mascate,8981.48,80
Mossel Bay-Macau,13549.15,119
Mossel Bay-Amboíno,12711.74,112
Mossel Bay-Socotra,7406.92,67
Mossel Bay-Bombaim,9185.87,82
Mossel Bay-Quiloa,5425.73,50
Mossel Bay-Porto,10235.22,91
Mossel Bay-Olinda,6988.04,63
Mossel Bay-São Jorge dos Ilhéus,6979.91,63
Mossel Bay-Natal - Capitania do Rio Grande,6828.79,62
Mossel Bay-Salvador,6865.19,62
Mossel Bay-Porto Seguro,6860.89,62
Mossel Bay-Rio de Janeiro,6616.95,60
Mossel Bay-Vila do Espírito Santo,6559.7,59
Natal-Lisboa,11260.85,100
Natal-Monte Pascoal - BA,7876.7,71
Natal-Cananor,7073.58,64
Natal-Ilhas Canárias,9969.06,89
Natal-Santiago - Cabo Verde,8799.35,79
Natal-Baía de Santa Helena,1959.21,20
Natal-Cabo da Boa esperança,1877.32,19
Natal-Mossel Bay,2171.7,22
Natal-Quelimane,1546.97,16
Natal-Ilha de moçambique,2143.65,21
Natal-Mombaça,3449.39,33
Natal-Malindi,3553.05,33
Natal-Goa,7608.06,68
Natal-Calicute,7045.64,63
Natal-Ceuta,11244.97,100
Natal-Tanger,11041.75,98
Natal-Arzila,11075.08,98
Natal-Alcácer-Quibir,11123.32,99
Natal-Cochin,6942.35,63
Natal-Goa,7608.06,68
Natal-Tidore,11158.04,99
Natal-Sohar,7289.8,66
Natal-Trincomalee,7223.23,65
Natal-Malaca,9369.33,83
